observation_date,DEXINUS
1998-03-01,39.5686
1998-04-01,39.7029
1998-05-01,40.4687
1998-06-01,42.3668
1998-07-01,42.6118
1998-08-01,42.8429
1998-09-01,42.5790
1998-10-01,42.3943
1998-11-01,42.4284
1998-12-01,42.5909
1999-01-01,42.5453
1999-02-01,42.5316
1999-03-01,42.5161
1999-04-01,42.7968
1999-05-01,42.8590
1999-06-01,43.2127
1999-07-01,43.3567
1999-08-01,43.5032
1999-09-01,43.5981
1999-10-01,43.5528
1999-11-01,43.4580
1999-12-01,43.5239
2000-01-01,43.5895
2000-02-01,43.6540
2000-03-01,43.6383
2000-04-01,43.6847
2000-05-01,44.0759
2000-06-01,44.7605
2000-07-01,44.8405
2000-08-01,45.7687
2000-09-01,45.9680
2000-10-01,46.4252
2000-11-01,46.8214
2000-12-01,46.7845
2001-01-01,46.6138
2001-02-01,46.5616
2001-03-01,46.6532
2001-04-01,46.7886
2001-05-01,46.9473
2001-06-01,47.0424
2001-07-01,47.1781
2001-08-01,47.1665
2001-09-01,47.7511
2001-10-01,48.0514
2001-11-01,48.0430
2001-12-01,47.9345
2002-01-01,48.3533
2002-02-01,48.7168
2002-03-01,48.7667
2002-04-01,48.9386
2002-05-01,49.0168
2002-06-01,48.9840
2002-07-01,48.7877
2002-08-01,48.6150
2002-09-01,48.4625
2002-10-01,48.3882
2002-11-01,48.2853
2002-12-01,48.1495
2003-01-01,47.9571
2003-02-01,47.7474
2003-03-01,47.6767
2003-04-01,47.3909
2003-05-01,47.1100
2003-06-01,46.6995
2003-07-01,46.2200
2003-08-01,45.9557
2003-09-01,45.8467
2003-10-01,45.4036
2003-11-01,45.5544
2003-12-01,45.5741
2004-01-01,45.4560
2004-02-01,45.2726
2004-03-01,44.9693
2004-04-01,43.8918
2004-05-01,45.1755
2004-06-01,45.5027
2004-07-01,46.0557
2004-08-01,46.3220
2004-09-01,46.0548
2004-10-01,45.7355
2004-11-01,45.0325
2004-12-01,43.8470
2005-01-01,43.6150
2005-02-01,43.5758
2005-03-01,43.5861
2005-04-01,43.6419
2005-05-01,43.4095
2005-06-01,43.5245
2005-07-01,43.4340
2005-08-01,43.5500
2005-09-01,43.8462
2005-10-01,44.7575
2005-11-01,45.6315
2005-12-01,45.5633
2006-01-01,44.2010
2006-02-01,44.2300
2006-03-01,44.3378
