observation_date,CCUSMA02RUM618N
1992-06-01,0.1380000000000000
1992-07-01,0.1680000000000000
1992-08-01,0.2170000000000000
1992-09-01,0.3440000000000000
1992-10-01,0.4240000000000000
1992-11-01,0.4150000000000000
1992-12-01,0.4620000000000000
1993-01-01,0.5679999999999999
1993-02-01,0.6590000000000000
1993-03-01,0.7559999999999999
1993-04-01,0.8930000000000000
1993-05-01,1.0800000000000001
1993-06-01,1.0300000000000000
1993-07-01,0.9860000000000000
1993-08-01,1.0649999999999999
1993-09-01,1.1859999999999999
1993-10-01,1.1909999999999998
1993-11-01,1.2390000000000001
1993-12-01,1.2470000000000001
1994-01-01,1.8210000000000000
1994-02-01,1.9299999999999999
1994-03-01,1.7529999999999999
1994-04-01,2.1360000000000001
1994-05-01,2.2420000000000000
1994-06-01,1.9850000000000001
1994-07-01,2.4560000000000000
1994-08-01,2.5639999999999996
1994-09-01,2.5960000000000001
1994-10-01,2.7780000000000000
1994-11-01,2.8870000000000000
1994-12-01,3.5499999999999998
1995-01-01,4.0039999999999996
1995-02-01,4.4070000000000000
1995-03-01,4.8970000000000002
1995-04-01,5.0999999999999996
1995-05-01,4.9950000000000001
1995-06-01,4.7510000000000003
1995-07-01,4.5289999999999999
1995-08-01,4.4150000000000000
1995-09-01,4.4685699999999997
1995-10-01,4.5021800000000001
1995-11-01,4.5369999999999999
1995-12-01,4.6160500000000004
1996-01-01,4.6819999999999995
1996-02-01,4.7569999999999997
1996-03-01,4.8339999999999996
1996-04-01,4.9000000000000004
1996-05-01,4.9779999999999998
1996-06-01,5.0529999999999999
1996-07-01,5.1470000000000002
1996-08-01,5.2800000000000002
1996-09-01,5.3700000000000001
1996-10-01,5.4310000000000000
1996-11-01,5.4820000000000002
1996-12-01,5.5360000000000005
1997-01-01,5.6010000000000000
1997-02-01,5.6539999999999999
1997-03-01,5.7039999999999997
1997-04-01,5.7470000000000008
1997-05-01,5.7699999999999996
1997-06-01,5.7800000000000002
1997-07-01,5.7870000000000008
1997-08-01,5.8109999999999999
1997-09-01,5.8460000000000001
1997-10-01,5.8750000000000000
1997-11-01,5.9020000000000001
1997-12-01,5.9409999999999998
1998-01-01,5.9950999999999999
1998-02-01,6.0496999999999996
1998-03-01,6.0895999999999999
1998-04-01,6.1238000000000001
1998-05-01,6.1485000000000003
1998-06-01,6.1797000000000004
1998-07-01,6.2163000000000004
1998-08-01,6.7495000000000003
1998-09-01,14.5257000000000005
1998-10-01,15.9227000000000007
1998-11-01,16.4699999999999989
1998-12-01,19.9904000000000011
1999-01-01,22.2876000000000012
1999-02-01,22.9021000000000008
1999-03-01,23.4787999999999997
1999-04-01,24.7419000000000011
1999-05-01,24.4552000000000014
1999-06-01,24.2855999999999987
1999-07-01,24.3048000000000002
1999-08-01,24.6965000000000003
1999-09-01,25.4704000000000015
1999-10-01,25.7134999999999998
1999-11-01,26.3028000000000013
1999-12-01,26.7996000000000016
2000-01-01,28.1890999999999998
2000-02-01,28.7275999999999989
2000-03-01,28.4581000000000017
2000-04-01,28.5924000000000014
2000-05-01,28.3108000000000004
2000-06-01,28.2432000000000016
2000-07-01,27.8495999999999988
2000-08-01,27.7356000000000016
2000-09-01,27.7981000000000016
2000-10-01,27.8700000000000010
2000-11-01,27.8092000000000006
2000-12-01,27.9663000000000004
2001-01-01,28.3592000000000013
2001-02-01,28.5942000000000007
2001-03-01,28.6768999999999998
2001-04-01,28.8463999999999992
2001-05-01,29.0183000000000000
2001-06-01,29.1143999999999998
2001-07-01,29.2173000000000016
2001-08-01,29.3451999999999984
2001-09-01,29.4287999999999990
2001-10-01,29.5344000000000015
2001-11-01,29.7956000000000003
2001-12-01,30.0915999999999997
2002-01-01,30.4668999999999990
2002-02-01,30.8006999999999991
2002-03-01,31.0590000000000011
2002-04-01,31.1717000000000013
2002-05-01,31.2475999999999985
2002-06-01,31.4021000000000008
2002-07-01,31.5143999999999984
2002-08-01,31.5563000000000002
2002-09-01,31.6250999999999998
2002-10-01,31.6925999999999988
2002-11-01,31.8082999999999991
2002-12-01,31.8370999999999995
2003-01-01,31.8152000000000008
2003-02-01,31.7017999999999986
2003-03-01,31.4538000000000011
2003-04-01,31.2121999999999993
2003-05-01,30.9193999999999996
2003-06-01,30.4813000000000009
2003-07-01,30.3597000000000001
2003-08-01,30.3477999999999994
2003-09-01,30.5953000000000017
2003-10-01,30.1648999999999994
2003-11-01,29.8138000000000005
2003-12-01,29.4390999999999998
2004-01-01,28.9234000000000009
2004-02-01,28.5153999999999996
2004-03-01,28.5334000000000003
2004-04-01,28.6758999999999986
2004-05-01,28.9866999999999990
2004-06-01,29.0315000000000012
2004-07-01,29.0817000000000014
2004-08-01,29.2130000000000010
2004-09-01,29.2218000000000018
2004-10-01,29.0776000000000003
2004-11-01,28.5843999999999987
2004-12-01,27.9201000000000015
2005-01-01,27.9349999999999987
2005-02-01,27.9736000000000011
2005-03-01,27.6159999999999997
2005-04-01,27.8204999999999991
2005-05-01,27.9203000000000010
2005-06-01,28.5042000000000009
2005-07-01,28.6888000000000005
2005-08-01,28.4756000000000000
2005-09-01,28.3644999999999996
2005-10-01,28.5472000000000001
2005-11-01,28.7564999999999991
2005-12-01,28.8110999999999997
